TIME,POINT1,POINT2,POINT3
31.920000,594.914744,594.914744,594.914744
31.940000,594.787732,594.787732,594.787732
31.960000,594.660911,594.660911,594.660911
31.980000,594.534281,594.534281,594.534281
32.000000,594.407841,594.407841,594.407841
32.020000,594.281591,594.281591,594.281591
32.040000,594.155531,594.155531,594.155531
32.060000,594.029659,594.029659,594.029659
32.080000,593.903976,593.903976,593.903976
32.100000,593.778481,593.778481,593.778481
32.120000,593.653174,593.653174,593.653174
32.140000,593.528053,593.528053,593.528053
32.160000,593.403118,593.403118,593.403118
32.180000,593.278370,593.278370,593.278370
32.200000,593.153806,593.153806,593.153806
32.220000,593.029428,593.029428,593.029428
32.240000,592.905234,592.905234,592.905234
32.260000,592.781224,592.781224,592.781224
32.280000,592.657397,592.657397,592.657397
32.300000,592.533753,592.533753,592.533753
32.320000,592.410291,592.410291,592.410291
32.340000,592.287012,592.287012,592.287012
32.360000,592.163913,592.163913,592.163913
32.380000,592.040995,592.040995,592.040995
32.400000,591.918258,591.918258,591.918258
32.420000,591.795700,591.795700,591.795700
32.440000,591.673321,591.673321,591.673321
32.460000,591.551122,591.551122,591.551122
32.480000,591.429100,591.429100,591.429100
32.500000,591.307257,591.307257,591.307257
32.520000,591.185590,591.185590,591.185590
32.540000,591.064101,591.064101,591.064101
32.560000,590.942788,590.942788,590.942788
32.580000,590.821650,590.821650,590.821650
32.600000,590.700688,590.700688,590.700688
32.620000,590.579901,590.579901,590.579901
32.640000,590.459289,590.459289,590.459289
32.660000,590.338850,590.338850,590.338850
32.680000,590.218586,590.218586,590.218586
32.700000,590.098494,590.098494,590.098494
32.720000,589.978575,589.978575,589.978575
32.740000,589.858827,589.858827,589.858827
32.760000,589.739252,589.739252,589.739252
32.780000,589.619848,589.619848,589.619848
32.800000,589.500615,589.500615,589.500615
32.820000,589.381552,589.381552,589.381552
32.840000,589.262659,589.262659,589.262659
32.860000,589.143936,589.143936,589.143936
32.880000,589.025382,589.025382,589.025382
32.900000,588.906997,588.906997,588.906997
32.920000,588.788779,588.788779,588.788779
32.940000,588.670730,588.670730,588.670730
32.960000,588.552848,588.552848,588.552848
32.980000,588.435133,588.435133,588.435133
33.000000,588.317584,588.317584,588.317584
33.020000,588.200201,588.200201,588.200201
33.040000,588.082984,588.082984,588.082984
33.060000,587.965933,587.965933,587.965933
33.080000,587.849046,587.849046,587.849046
33.100000,587.732324,587.732324,587.732324
33.120000,587.615766,587.615766,587.615766
33.140000,587.499371,587.499371,587.499371
33.160000,587.383139,587.383139,587.383139
33.180000,587.267071,587.267071,587.267071
33.200000,587.151164,587.151164,587.151164
